TDS (mg/l),Turbidity (NTU),pH,Depth (m),Flow Discharge (L/min),Filter Life Span (hours),Filter Efficiency (%)
21.012,1.121,7.869,2.523,21.871,4724.289,92.361
369.952,6.516,7.305,2.413,42.943,4192.573,88.451
459.038,6.095,6.512,3.65,29.502,3992.978,86.463
140.019,5.156,7.398,3.79,74.823,4183.319,87.632
429.171,9.265,7.489,2.816,35.101,4019.198,87.62
146.109,5.211,8.3,3.834,64.381,4284.307,88.763
455.385,9.905,7.855,2.878,29.929,4014.923,87.821
376.981,5.092,6.755,0.938,17.993,4402.582,90.374
402.453,1.159,6.295,4.332,1.91,4233.334,87.662
9.003,4.705,8.133,4.417,99.468,4232.907,87.746
481.405,1.823,8.115,1.699,22.732,4564.279,90.962
363.335,5.971,6.438,4.039,83.392,3892.914,84.887
152.376,6.931,6.155,2.8,82.386,4047.979,86.735
414.697,4.684,7.78,1.058,24.36,4481.867,90.98
140.761,0.977,7.806,2.291,42.148,4648.018,91.352
436.377,4.686,6.443,0.844,83.775,4239.778,87.966
56.29,0.815,7.671,4.039,69.291,4455.689,89.108
351.843,6.821,6.697,1.383,37.618,4239.206,89.062
270.349,7.904,6.652,1.24,94.965,4120.89,87.63
48.267,9.624,6.811,1.438,34.892,4262.18,90.16
120.947,1.488,7.301,1.518,21.995,4699.476,92.221
6.202,5.324,8.011,3.533,15.525,4447.473,90.917
234.384,5.675,7.247,3.374,70.431,4145.469,87.453
150.633,9.225,6.745,1.082,3.871,4322.012,90.949
299.179,6.273,8.21,3.76,84.738,4112.301,87.157
148.619,1.455,6.138,2.071,31.118,4497.397,90.099
149.96,4.364,7.993,2.559,37.611,4475.033,90.683
371.597,6.548,7.961,1.062,80.381,4315.966,89.32
24.071,7.003,6.634,3.689,81.604,4069.12,86.976
451.447,8.631,6.496,2.193,40.601,3991.811,87.101
426.132,1.805,8.187,3.345,55.829,4369.24,88.676
333.902,9.515,7.397,2.422,68.242,4018.263,87.355
296.611,0.591,6.115,0.72,69.172,4523.293,89.719
446.151,9.838,8.227,3.666,53.871,3933.438,86.747
92.665,8.578,6.873,2.986,84.566,4044.274,87.17
39.485,6.603,6.855,2.454,84.303,4221.645,88.354
119.755,7.35,7.608,1.407,85.031,4322.686,89.582
397.289,0.727,7.653,3.31,27.554,4444.276,89.385
17.335,0.415,6.883,1.738,26.434,4732.215,92.182
291.403,1.018,6.358,2.431,14.842,4466.422,89.821
497.719,0.874,7.381,0.754,82.814,4504.483,89.479
427.848,5.474,7.563,3.995,7.005,4155.133,88.123
260.723,2.154,8.151,0.905,14.395,4757.665,93.079
31.82,8.602,7.211,4.509,92.695,3938.83,86.042
415.687,4.457,7.614,4.404,13.386,4163.525,87.839
299.489,6.955,6.136,4.87,13.007,3903.098,85.987
57.466,6.529,8.236,4.588,91.002,4127.659,87.325
46.929,3.199,6.818,4.871,31.7,4247.879,88.121
454.813,2.432,7.581,4.493,88.261,4083.269,85.68
334.6,3.425,8.29,1.006,38.388,4613.08,91.774
414.643,7.967,8.026,2.47,37.99,4174.043,88.751
439.489,5.863,7.594,0.843,14.383,4433.506,90.95
285.886,2.535,7.759,2.954,91.944,4326.918,88.11
258.723,8.178,8.302,2.884,76.407,4150.737,88.197
215.214,0.548,8.03,4.65,23.339,4456.378,89.495
158.473,6.992,7.525,4.864,73.052,3991.17,86.279
217.298,4.391,7.647,1.668,11.266,4547.105,91.676
386.94,7.313,6.368,3.12,52.857,3959.947,86.265
300.962,9.275,7.175,2.59,26.172,4091.987,88.441
446.262,7.5,6.752,2.96,85.208,3910.655,85.505
221.69,4.42,7.08,2.893,51.602,4283.684,88.647
303.545,1.51,7.656,4.614,92.2,4192.546,86.456
315.654,8.064,6.373,4.533,58.931,3805.166,84.881
295.849,4.607,6.043,1.052,50.894,4319.048,89.064
351.317,0.753,6.992,2.053,69.7,4441.218,88.941
118.717,7.191,6.805,3.887,78.613,4015.685,86.528
256.182,2.919,7.051,3.578,2.511,4368.276,89.533
52.112,0.489,8.328,3.34,52.706,4642.856,91.048
192.256,9.028,7.768,4.972,77.796,3876.461,85.695
243.834,4.831,6.819,2.016,41.342,4334.093,89.377
326.112,2.81,6.448,2.819,5.467,4348.487,89.273
475.266,7.164,7.546,4.906,2.738,3962.7,86.749
300.326,8.859,7.644,3.63,79.591,3949.099,86.353
371.797,0.003,7.209,3.419,20.609,4451.729,89.312
253.133,6.879,6.532,1.196,18.317,4326.428,90.145
317.052,7.67,6.071,1.61,29.667,4144.778,88.452
35.466,2.099,6.664,2.199,11.115,4601.626,91.535
127.196,4.896,7.143,2.592,6.275,4434.151,90.748
180.927,0.893,7.97,2.737,87.354,4513.426,89.529
236.247,7.467,8.134,4.56,30.976,4104.027,87.971
22.824,8.475,7.032,0.982,58.657,4352.534,90.481
70.012,1.082,7.99,1.618,85.922,4676.328,91.229
138.407,8.165,8.483,1.146,97.769,4360.732,90.079
485.766,7.716,7.792,3.809,69.161,3931.273,85.936
165.674,3.469,7.821,4.868,95.066,4148.963,86.58
241.021,6.903,8.274,4.523,42.929,4123.589,87.877
98.049,0.0,6.845,3.755,79.165,4401.672,88.225
305.39,9.318,6.028,0.597,93.823,4036.877,87.226
140.342,5.504,8.467,2.062,6.263,4582.692,92.415
103.496,6.203,7.226,4.386,32.427,4157.217,88.109
258.286,6.647,7.964,3.439,74.285,4142.495,87.676
2.753,5.614,8.031,1.443,32.212,4612.318,92.485
3.832,8.568,6.994,2.599,2.686,4303.79,90.581
109.534,6.097,7.353,0.896,80.895,4424.346,90.264
18.361,9.078,7.35,2.844,17.308,4252.943,90.08
54.013,5.823,6.551,4.555,32.766,4115.887,87.578
169.43,1.711,6.294,0.674,91.147,4509.416,89.696
401.293,9.136,7.359,3.263,21.677,4008.86,87.613
286.024,6.816,6.3,1.549,89.581,4112.151,87.271
256.334,6.992,6.865,4.957,42.832,3927.398,85.943
146.744,9.855,6.465,0.793,91.895,4117.322,88.211
465.877,0.752,7.767,3.278,87.808,4302.794,87.375
198.508,4.286,8.18,1.654,42.109,4554.867,91.413
43.546,2.391,7.445,4.471,92.265,4271.519,87.51
308.533,6.304,7.025,1.049,63.639,4300.912,89.264
56.919,8.068,8.492,2.432,48.086,4377.96,90.719
172.612,9.663,6.053,1.334,53.538,4095.352,88.317
253.706,4.546,6.761,4.097,7.267,4197.651,88.268
437.111,7.862,6.697,2.081,80.952,3987.951,86.429
246.773,9.171,6.891,1.34,29.954,4213.209,89.584
351.129,6.833,6.576,3.767,27.747,4008.273,86.855
496.408,2.427,6.661,4.177,71.824,4035.099,85.361
65.745,6.079,6.644,2.581,37.71,4294.122,89.388
137.366,9.7,7.264,2.205,51.902,4148.491,88.876
197.288,9.876,6.978,3.345,42.736,3985.406,87.389
210.914,6.424,7.598,3.431,50.959,4188.137,88.299
205.511,8.87,7.286,3.473,22.995,4089.025,88.321
453.806,2.003,6.459,1.741,88.609,4267.47,87.39
357.016,2.461,8.025,4.736,61.407,4204.563,87.17
303.953,9.529,7.18,1.46,24.137,4195.305,89.57
154.686,1.352,6.383,2.184,10.062,4554.851,90.854
411.895,1.911,6.417,1.777,54.011,4354.534,88.579
477.53,4.205,7.992,4.69,47.344,4086.509,86.653
410.599,5.896,7.757,4.228,93.317,3966.257,85.498
0.783,6.038,7.266,4.151,23.839,4261.581,89.189
318.201,2.92,6.765,0.521,88.279,4442.755,89.421
25.568,9.206,7.151,3.587,76.883,4029.619,87.289
128.804,9.151,7.591,1.536,48.174,4287.198,90.136
29.762,3.921,8.198,4.855,87.503,4248.413,87.785
301.898,4.343,7.39,2.888,86.326,4209.382,87.533
343.295,7.025,6.692,3.041,71.728,3998.716,86.377
57.244,6.63,6.107,2.104,11.054,4318.041,90.059
191.919,3.823,6.439,2.915,16.859,4331.509,89.293
228.118,4.142,7.625,3.874,59.568,4234.845,87.995
184.527,3.48,6.401,3.029,25.297,4320.369,88.995
60.513,2.354,7.204,3.386,55.566,4422.737,89.378
209.474,4.581,7.747,2.626,56.518,4365.287,89.462
375.589,6.864,6.771,3.724,59.122,3955.42,86.022
35.504,7.42,7.673,4.548,57.414,4108.911,87.741
40.09,7.789,7.453,0.73,38.547,4485.72,91.808
177.386,3.747,7.097,0.983,21.814,4591.764,91.824
470.863,7.646,8.243,3.585,52.336,4043.366,87.204
334.286,0.065,7.73,2.2,50.021,4582.604,90.345
339.335,4.77,6.901,1.767,28.244,4348.74,89.636
180.96,7.939,8.011,1.304,6.067,4471.133,92.032
296.83,6.3,7.845,3.077,21.351,4270.699,89.384
5.066,4.741,7.979,2.064,55.527,4540.912,91.276
318.048,6.446,7.602,2.786,54.026,4192.259,88.316
456.643,9.069,6.948,4.814,14.23,3803.235,85.611
306.287,5.664,6.871,3.912,60.999,4037.592,86.465
436.849,7.998,7.635,4.082,42.842,3951.358,86.485
361.987,9.807,6.327,1.059,65.713,4024.045,87.526
60.279,7.056,8.05,1.962,88.913,4347.989,89.707
451.227,5.733,6.926,0.978,31.546,4319.409,89.599
33.222,0.375,7.576,4.858,35.383,4465.638,89.415
266.984,3.745,7.248,3.57,68.005,4211.042,87.554
71.069,5.654,7.298,0.587,94.966,4462.988,90.377
5.853,7.972,7.845,2.64,49.126,4320.742,90.108
211.017,4.381,7.567,1.686,17.759,4528.001,91.417
147.52,9.601,6.626,2.93,93.566,3928.675,86.231
243.0,2.718,6.186,1.304,47.508,4435.748,89.698
288.6,7.446,8.101,0.756,46.609,4424.671,91.014
21.87,4.19,8.212,1.954,54.441,4596.461,91.677
61.502,4.86,6.411,1.83,25.998,4432.405,90.522
279.321,8.025,6.774,3.726,78.685,3906.455,85.685
171.584,2.962,6.706,2.635,64.463,4344.213,88.686
364.587,0.968,8.344,1.811,95.532,4531.501,89.65
326.146,5.203,6.512,3.067,21.185,4178.93,88.138
422.802,5.288,6.416,0.821,62.294,4259.155,88.555
346.246,7.972,6.455,3.481,52.147,3921.4,86.084
214.966,9.683,7.825,1.163,89.581,4195.383,88.963
336.483,0.553,8.22,1.759,4.006,4742.236,92.548
137.691,5.917,6.983,1.77,76.319,4304.058,89.052
153.157,6.813,6.34,2.596,62.683,4131.803,87.735
394.493,9.858,7.464,4.789,61.147,3755.068,84.897
223.21,9.426,6.525,1.961,87.657,3998.173,86.933
399.19,7.125,6.16,1.766,59.39,4064.843,87.192
411.211,5.218,8.216,1.26,71.876,4385.344,89.7
428.781,1.615,8.177,2.264,64.925,4466.322,89.499
458.318,3.842,8.44,1.319,7.881,4575.05,91.824
215.493,5.851,7.185,1.12,12.17,4481.857,91.452
159.433,7.252,6.735,4.358,34.511,4026.35,87.094
291.099,6.354,7.924,0.737,67.894,4419.72,90.424
185.586,7.141,6.451,3.699,3.618,4118.161,88.288
300.537,4.292,6.608,1.412,77.487,4299.847,88.511
352.793,7.276,6.639,0.553,21.098,4326.243,90.234
344.203,1.437,8.379,4.078,56.392,4373.333,88.601
187.276,1.626,7.825,3.66,20.915,4499.667,90.275
83.43,1.628,6.334,2.004,18.421,4573.016,91.034
215.265,8.909,6.232,0.857,34.085,4216.277,89.495
71.297,0.76,8.107,2.123,92.229,4640.277,90.709
445.049,8.015,8.006,1.316,24.547,4296.599,90.125
172.939,2.336,7.677,4.696,5.804,4383.26,89.475
77.23,4.684,6.49,2.883,88.342,4211.18,87.634
12.724,9.16,7.201,4.837,44.454,3983.093,87.134
322.911,5.859,7.507,2.081,62.485,4263.197,88.765
318.451,2.101,8.33,3.004,88.692,4390.958,88.653
170.302,2.841,6.424,1.356,75.809,4427.986,89.374
35.856,9.204,7.289,4.138,79.854,3977.209,86.735
204.814,4.271,6.394,0.685,48.529,4457.905,90.375
155.609,5.87,7.11,3.63,69.047,4138.545,87.456
338.56,4.599,6.5,2.262,96.413,4131.715,86.733
302.89,3.784,8.09,3.103,89.089,4279.917,88.044
182.297,2.233,6.637,3.165,61.63,4321.119,88.265
108.946,6.862,7.043,3.699,9.452,4217.946,89.144
494.018,7.182,7.019,1.419,97.99,4057.918,86.754
227.001,2.749,8.166,2.891,23.323,4529.861,90.89
344.137,7.89,7.894,2.421,36.715,4207.329,89.073
70.276,8.545,6.144,1.77,14.895,4245.217,89.867
242.795,9.207,6.168,2.731,17.495,4026.97,87.857
13.768,1.612,7.378,4.784,79.782,4312.338,87.809
252.728,3.039,7.069,4.77,13.699,4224.209,88.017
482.009,8.604,6.689,1.755,19.748,4082.751,88.211
192.103,1.985,7.982,4.479,17.978,4418.985,89.606
19.498,0.035,6.322,4.445,37.648,4400.839,88.642
15.478,8.708,8.435,1.623,69.774,4398.501,90.9
193.993,3.264,6.06,3.195,64.74,4196.797,87.3
80.012,4.145,6.296,4.415,72.745,4095.342,86.469
11.676,4.463,6.778,2.817,72.954,4321.168,88.821
378.107,8.483,7.273,2.164,1.297,4195.106,89.483
229.262,3.379,6.54,3.429,68.769,4190.065,87.227
144.622,8.923,7.841,1.276,68.773,4300.466,89.994
450.042,6.169,6.894,1.228,7.149,4318.818,89.968
58.069,5.273,6.096,4.247,43.285,4105.696,87.206
477.959,3.256,8.194,0.688,8.786,4631.228,92.201
156.983,2.437,8.36,4.116,19.892,4484.201,90.374
444.202,6.241,7.546,1.807,49.485,4240.818,88.785
301.471,4.469,8.016,2.674,2.189,4455.668,90.875
413.354,9.105,6.303,2.946,10.405,3952.951,87.157
492.007,4.916,6.672,3.952,9.407,4061.387,86.995
144.203,5.118,6.813,4.477,13.33,4178.913,88.191
480.568,4.167,8.402,4.119,5.928,4267.785,88.869
194.741,7.893,7.281,3.076,61.596,4105.308,87.805
192.756,4.248,6.019,2.066,18.681,4349.088,89.579
170.194,2.693,6.95,2.87,86.398,4315.532,88.099
270.704,8.62,6.019,0.635,88.595,4094.87,87.649
77.073,5.968,6.595,1.602,69.412,4323.435,89.331
276.856,5.915,7.137,2.148,7.431,4349.861,90.199
270.852,6.108,6.808,1.939,89.269,4167.584,87.616
380.951,7.188,6.082,0.928,42.45,4180.573,88.538
416.825,3.131,6.291,0.728,18.93,4453.437,90.284
220.221,0.338,7.377,2.393,78.099,4515.169,89.472
151.167,8.106,7.739,0.837,35.323,4438.716,91.466
129.667,1.289,7.011,1.788,51.101,4590.855,90.784
97.312,7.218,7.829,2.637,74.561,4260.511,89.025
28.824,0.823,6.408,1.445,11.011,4718.759,92.324
171.224,3.753,6.305,0.858,17.786,4535.886,91.307
135.124,0.63,8.099,2.445,96.887,4572.554,89.946
483.209,5.222,6.848,2.518,71.641,4086.996,86.72
278.854,6.531,7.081,4.62,23.881,4032.278,87.043
173.639,1.714,8.369,1.075,57.805,4741.223,92.348
290.234,3.716,7.06,3.267,19.611,4309.128,89.01
69.598,9.302,6.009,1.939,86.681,4033.726,87.261
222.022,4.424,8.345,1.056,45.413,4605.843,91.931
313.117,8.025,6.035,2.269,80.88,3957.023,86.169
244.449,9.272,7.656,2.426,97.22,4042.743,87.237
200.889,9.743,6.807,2.136,98.107,3983.288,86.775
496.924,8.983,7.176,3.946,14.624,3896.147,86.51
440.157,3.174,7.368,4.276,94.536,4041.325,85.42
311.703,9.626,7.021,1.169,27.759,4192.531,89.535
284.689,8.124,7.936,1.256,36.603,4346.288,90.534
310.33,8.372,8.327,2.395,7.236,4304.903,90.488
100.656,0.152,6.216,1.941,64.914,4539.775,89.794
197.569,9.542,8.001,4.188,64.768,3975.816,86.973
19.73,7.781,6.322,4.986,77.927,3878.839,85.343
237.773,7.68,6.201,1.315,94.68,4096.34,87.321
271.512,0.815,8.39,3.931,43.388,4482.517,89.636
113.875,2.326,7.223,3.233,41.336,4443.17,89.716
482.014,9.623,6.382,3.4,64.272,3747.477,84.719
454.727,5.007,7.425,1.69,67.074,4261.641,88.448
361.072,3.979,6.658,0.937,45.079,4402.448,89.767
266.693,8.399,7.161,2.945,92.014,3984.268,86.442
434.985,0.873,7.562,3.261,6.165,4456.594,89.766
65.326,4.169,8.173,4.834,75.884,4241.044,87.902
395.255,3.757,6.008,3.539,21.586,4118.266,87.094
62.41,3.499,6.535,2.497,50.038,4397.671,89.526
397.105,3.077,6.241,4.973,85.298,3903.773,84.108
137.884,2.101,6.243,2.18,33.631,4465.076,89.945
438.545,1.729,8.364,1.232,90.069,4527.427,89.892
472.021,6.404,8.34,3.281,45.618,4158.481,88.05
74.398,9.194,7.873,1.698,70.573,4279.473,89.847
231.338,5.089,7.608,4.65,72.545,4080.588,86.607
490.494,2.98,8.12,2.425,26.821,4421.577,89.841
241.704,1.592,6.146,1.173,90.165,4416.513,88.741
431.774,8.301,6.299,1.137,13.337,4158.506,88.942
294.366,9.715,6.793,3.423,59.417,3885.178,86.172
187.665,3.492,8.081,2.147,92.972,4439.115,89.509
142.892,2.91,7.181,2.137,4.068,4579.324,91.625
101.612,6.015,7.259,3.255,53.594,4241.608,88.685
380.899,7.753,6.573,1.497,25.397,4178.727,88.859
193.27,4.554,7.621,1.154,20.053,4582.211,91.988
255.638,6.301,8.22,3.458,24.143,4285.051,89.499
246.163,7.165,6.824,0.524,90.366,4267.934,88.925
288.64,9.606,7.548,4.583,43.126,3885.614,86.307
432.789,1.65,6.83,1.323,24.354,4503.03,90.282
490.37,9.974,7.982,2.515,92.828,3917.112,86.235
203.792,3.922,7.187,1.452,32.84,4509.92,90.947
413.759,7.232,6.849,1.482,72.623,4122.942,87.673
382.264,5.724,7.05,4.258,54.18,3993.562,86.111
286.764,4.867,6.228,3.133,68.237,4086.35,86.641
478.024,6.981,8.165,1.902,19.085,4300.157,89.905
100.237,3.958,8.395,1.63,68.174,4592.179,91.427
54.632,1.261,7.194,1.458,90.676,4601.842,90.49
426.981,4.889,6.553,2.995,10.99,4175.916,88.116
219.575,5.219,7.662,3.789,33.327,4249.91,88.732
423.484,2.019,7.131,1.641,97.288,4341.739,88.05
446.545,9.356,6.631,1.995,23.294,4025.869,87.833
31.229,2.275,6.096,3.742,6.896,4392.299,89.536
441.732,4.092,8.224,3.818,6.451,4302.269,89.186
224.16,1.549,7.992,1.433,28.255,4709.834,92.281
255.216,5.358,8.073,2.22,49.992,4389.769,90.005
313.296,3.076,7.1,4.415,27.614,4202.784,87.675
463.191,4.893,7.883,3.831,28.809,4171.377,87.893
9.558,2.246,7.453,1.231,83.311,4638.474,91.225
238.422,0.538,6.937,2.237,76.927,4470.058,89.093
343.861,7.792,8.107,4.88,31.774,3997.612,86.996
361.353,6.411,8.497,2.864,35.144,4291.762,89.489
346.266,3.407,8.248,3.737,96.998,4213.617,87.188
67.218,0.475,7.94,0.914,95.065,4755.146,91.743
149.698,8.656,7.869,4.246,97.337,3959.937,86.223
179.358,1.698,7.626,3.222,93.981,4377.871,88.348
402.219,9.307,8.134,1.29,63.181,4191.543,89.076
139.38,4.786,7.233,2.211,31.524,4430.139,90.422
105.352,3.404,6.454,0.874,96.98,4441.24,89.464
478.724,7.418,7.92,3.997,74.539,3933.038,85.81
4.432,8.768,8.299,3.852,71.413,4161.219,88.529
498.91,3.707,6.853,2.706,79.964,4119.994,86.512
338.411,4.073,7.957,2.534,60.248,4348.965,89.109
414.235,4.332,6.684,2.585,58.743,4168.708,87.399
147.31,9.223,8.357,0.669,36.772,4460.43,92.004
7.158,6.926,7.709,2.157,15.923,4473.448,91.653
368.935,2.476,7.423,1.078,44.414,4537.374,90.673
417.072,1.85,7.95,1.332,52.22,4556.335,90.596
370.238,2.304,8.033,4.83,87.903,4144.246,86.255
71.425,2.636,8.231,1.678,40.758,4706.278,92.446
376.714,2.302,8.253,2.676,88.419,4377.362,88.58
384.461,6.585,6.132,4.495,32.434,3877.314,85.424
329.27,1.159,6.307,2.361,94.523,4283.008,87.233
383.058,3.874,8.065,2.879,4.855,4423.72,90.351
422.961,6.251,8.365,1.26,53.008,4380.535,90.15
306.802,2.909,6.769,1.783,32.838,4434.126,89.885
44.302,0.653,6.022,2.778,30.147,4509.317,89.988
243.814,0.818,6.807,2.142,8.86,4585.932,91.016
38.825,1.26,6.957,0.672,68.448,4709.21,91.786
203.772,8.358,7.903,2.304,39.862,4260.353,89.712
203.553,6.579,6.119,4.168,94.956,3874.478,84.769
33.005,0.645,6.532,1.022,71.53,4659.11,91.069
174.41,3.911,8.235,0.584,44.846,4692.631,92.651
55.499,2.786,6.387,1.034,63.102,4542.042,90.625
404.118,5.78,7.898,3.591,7.534,4224.573,88.905
473.844,5.228,6.903,4.076,59.325,3965.763,85.633
36.158,4.811,7.657,0.719,66.949,4601.199,91.786
477.558,3.145,6.185,4.494,11.51,4050.008,86.329
261.288,1.378,6.716,3.323,68.561,4302.678,87.755
149.783,7.424,7.062,2.832,47.927,4181.105,88.559
38.431,8.799,8.143,1.641,48.482,4394.079,91.096
250.312,9.442,7.409,2.173,72.634,4081.109,87.917
397.258,0.586,6.113,4.761,45.531,4116.168,85.882
353.543,7.399,8.005,4.602,24.2,4045.144,87.429
25.113,7.265,6.136,3.315,30.53,4145.303,88.327
36.451,9.471,8.336,3.105,74.097,4183.108,88.931
201.437,2.529,6.529,1.447,8.029,4564.952,91.328
147.645,7.422,7.22,4.79,84.242,3929.611,85.68
116.192,0.546,6.181,3.899,58.638,4325.458,87.832
140.502,6.312,7.404,2.22,72.97,4286.597,89.03
401.741,3.508,7.243,4.171,35.025,4160.838,87.311
464.614,7.689,7.026,1.453,23.051,4194.354,89.02
202.551,8.633,6.089,1.46,80.653,4068.707,87.47
453.056,3.648,8.197,4.059,11.119,4282.626,88.81
160.748,5.256,8.007,3.017,17.42,4420.964,90.612
238.218,1.174,7.583,3.001,29.207,4521.906,90.279
113.014,4.169,7.431,3.082,35.771,4398.403,89.877
320.238,3.608,7.737,1.066,21.162,4584.281,91.714
489.491,1.831,6.36,2.073,91.35,4209.688,86.733
301.747,8.945,8.332,3.079,3.691,4219.781,89.844
178.907,1.481,6.712,1.614,80.543,4485.17,89.491
323.909,6.357,7.641,2.768,41.696,4224.104,88.731
61.46,8.901,7.517,3.007,83.775,4107.671,87.909
444.33,9.12,7.592,4.743,79.801,3747.137,84.409
251.542,7.932,8.197,1.606,12.983,4410.783,91.358
224.675,1.761,6.74,2.477,66.975,4391.909,88.778
292.932,8.174,7.872,4.917,38.466,3963.443,86.702
312.392,2.766,7.496,1.341,82.28,4456.503,89.572
35.888,9.224,6.19,4.01,85.251,3868.362,85.598
341.309,7.091,7.035,1.297,19.716,4309.19,90.022
120.966,7.853,8.095,4.325,48.386,4127.078,88.143
356.976,0.85,6.788,2.696,59.846,4368.552,88.342
411.267,5.828,7.206,4.875,54.864,3926.35,85.463
401.979,8.211,7.222,1.265,25.925,4232.215,89.526
276.25,8.616,7.545,3.596,27.977,4070.062,88.006
260.085,0.286,8.21,3.629,85.961,4441.849,88.645
71.438,9.392,6.434,3.735,4.237,4056.118,88.336
387.673,0.433,7.262,0.954,26.974,4661.264,91.473
135.705,6.145,7.061,1.799,23.084,4404.934,90.662
248.348,6.934,6.74,2.021,37.696,4225.613,88.959
142.137,1.073,8.299,1.959,68.924,4671.383,91.347
66.914,0.48,6.02,3.538,53.694,4383.433,88.441
314.779,7.849,6.305,0.747,54.522,4196.963,88.779
27.166,3.847,7.833,3.785,73.397,4352.087,88.941
374.323,1.071,6.659,2.87,81.404,4275.372,87.261
158.793,7.627,7.808,1.278,16.828,4458.56,91.705
0.067,8.492,8.081,1.518,11.695,4508.305,92.514
255.565,5.874,6.637,0.939,30.821,4386.626,90.32
23.426,1.612,6.48,2.566,82.928,4433.223,88.987
138.085,0.152,6.363,3.177,54.633,4432.692,88.826
353.488,7.008,6.5,3.114,15.14,4081.16,87.763
31.345,5.501,6.668,4.831,17.21,4158.568,88.064
419.669,6.508,8.172,1.832,89.929,4218.912,88.242
1.91,8.132,7.925,3.929,37.33,4217.358,89.24
123.412,4.342,6.005,3.754,26.273,4193.711,87.977
370.452,1.245,8.185,0.776,69.68,4654.088,91.218
158.135,9.4,6.197,4.685,86.218,3729.706,84.255
50.946,5.453,7.638,4.691,44.799,4207.028,88.258
180.117,6.153,6.379,2.284,79.322,4153.168,87.584
135.197,9.334,6.156,2.38,43.574,4056.163,87.926
421.356,9.316,7.899,4.188,69.451,3855.752,85.658
156.674,5.721,7.168,2.728,57.907,4263.839,88.776
394.466,2.976,7.498,4.096,89.55,4114.986,86.147
445.936,9.971,7.063,0.663,33.18,4152.197,89.182
216.909,6.808,6.168,1.626,77.272,4150.765,87.777
454.972,4.084,7.849,0.91,68.71,4424.802,89.786
188.659,5.598,8.051,2.544,84.044,4308.364,88.923
482.039,4.158,6.104,4.344,61.147,3904.754,84.684
44.645,8.883,6.939,3.064,46.554,4127.942,88.479
343.51,4.825,7.393,2.842,5.896,4330.383,89.692
246.907,8.235,7.513,2.147,84.13,4133.07,87.96
193.824,8.402,7.445,0.786,91.084,4266.746,89.277
316.356,8.243,7.732,3.949,45.516,4016.975,87.188
351.929,7.222,8.417,3.068,23.004,4251.793,89.454
2.182,8.549,6.976,4.689,65.068,3970.046,86.614
83.477,3.872,7.392,2.444,13.048,4533.322,91.364
356.523,1.147,7.748,2.307,5.044,4598.414,91.278
333.193,8.425,7.481,4.885,29.72,3912.385,86.354
483.024,4.982,6.967,1.135,68.311,4255.948,88.371
380.519,1.274,7.56,1.636,81.606,4475.297,89.319
475.386,1.153,7.625,2.697,16.529,4464.447,89.825
351.27,1.592,7.462,2.856,94.669,4316.053,87.692
149.026,7.51,6.513,2.969,55.656,4093.044,87.627
52.682,7.109,7.265,1.454,92.601,4314.075,89.347
390.912,2.038,8.211,4.671,15.829,4324.984,88.703
322.075,8.469,8.172,3.666,46.34,4073.396,87.811
24.093,2.813,7.877,1.663,43.65,4681.405,92.221
180.025,7.93,7.743,1.824,41.758,4321.891,90.18
478.4,4.888,6.383,4.462,93.148,3822.26,83.758
250.201,7.315,7.149,2.212,85.092,4132.648,87.67
216.365,3.814,6.277,3.004,79.633,4169.231,87.04
228.85,3.471,8.043,1.042,29.326,4653.481,92.283
104.441,8.414,6.728,1.633,34.565,4267.45,89.853
184.354,0.353,7.917,2.375,26.671,4691.087,91.75
184.907,9.747,8.036,3.453,79.555,4019.451,87.323
26.178,6.482,8.231,1.761,39.89,4530.067,91.846
383.784,4.325,7.885,4.778,97.89,4006.701,85.386
208.252,6.281,7.412,1.491,37.067,4399.797,90.511
411.09,1.227,7.495,4.005,17.809,4346.505,88.655
425.174,5.141,6.801,2.141,93.056,4110.352,86.715
105.997,9.851,6.442,4.25,78.488,3816.696,85.337
328.677,2.353,6.327,4.654,58.74,4067.807,85.796
236.141,7.223,6.455,1.342,85.985,4160.169,87.909
440.078,4.35,8.335,2.712,94.995,4234.808,87.703
107.87,6.525,6.411,1.195,86.276,4268.928,88.784
338.907,2.049,7.809,3.676,90.547,4260.321,87.312
303.876,4.705,6.462,4.245,27.853,4078.774,86.921
147.651,9.801,8.438,2.253,51.574,4251.542,89.94
68.3,1.953,6.916,2.285,79.734,4471.847,89.507
325.82,6.364,7.03,1.417,53.076,4274.022,89.119
369.299,5.756,7.011,1.879,64.542,4211.655,88.198
157.814,5.651,8.041,1.958,92.362,4362.207,89.394
322.416,6.151,6.546,1.2,30.239,4305.316,89.596
197.565,5.022,8.078,1.895,54.401,4459.574,90.558
356.603,0.169,7.643,4.583,56.79,4305.651,87.539
99.608,9.001,6.551,1.964,36.594,4185.606,89.19
445.108,8.27,6.164,1.735,37.459,4031.894,87.425
143.705,1.742,7.937,2.231,77.135,4557.453,90.326
183.893,4.133,6.547,4.821,93.022,3987.991,85.19
29.046,7.705,8.223,3.941,63.74,4200.929,88.684
55.756,9.801,6.324,1.408,49.306,4175.142,89.199
257.931,9.511,7.541,3.886,75.286,3910.338,86.204
133.796,8.994,7.73,3.948,99.783,3962.092,86.321
417.74,1.584,7.644,4.776,9.158,4280.491,88.188
7.347,9.145,6.79,4.51,65.507,3936.09,86.449
